total_buses,total_trips,total_distance,total_idle_time,avg_idle_time,max_idle_time,overlaps,buses_with_zero_overlaps,avg_utilization,std_trips_per_bus,efficiency_score,fitness_score,filename,file_path,buses,generation,timestamp
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen10_20250401_005216.csv,optimized_schedules\schedule_buses1000_gen10_20250401_005216.csv,1000,10,2025-04-01
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen11_20250401_005446.csv,optimized_schedules\schedule_buses1000_gen11_20250401_005446.csv,1000,11,2025-04-01
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen12_20250401_005838.csv,optimized_schedules\schedule_buses1000_gen12_20250401_005838.csv,1000,12,2025-04-01
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen13_20250401_010127.csv,optimized_schedules\schedule_buses1000_gen13_20250401_010127.csv,1000,13,2025-04-01
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen14_20250401_010424.csv,optimized_schedules\schedule_buses1000_gen14_20250401_010424.csv,1000,14,2025-04-01
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen15_20250401_010709.csv,optimized_schedules\schedule_buses1000_gen15_20250401_010709.csv,1000,15,2025-04-01
1000,5438,112014.52711749748,586592.8,132.17503379900856,230.9,0,1000,0.3631150941193406,0.5478649468619068,0.1909575708394761,0.5781667811578957,schedule_buses1000_gen1_20250401_002630.csv,optimized_schedules\schedule_buses1000_gen1_20250401_002630.csv,1000,1,2025-04-01
1000,5438,112014.52711749746,6642.95,1.7081383389046025,230.9,479,999,1.0378540719410996,15.333823919688136,16.859628250889525,0.4302398934243525,schedule_buses1000_gen2_20250401_002945.csv,optimized_schedules\schedule_buses1000_gen2_20250401_002945.csv,1000,2,2025-04-01
1000,5438,112014.52711749746,6642.95,1.7081383389046025,230.9,479,999,1.0378540719410996,15.333823919688136,16.859628250889525,0.4302398934243525,schedule_buses1000_gen3_20250401_003215.csv,optimized_schedules\schedule_buses1000_gen3_20250401_003215.csv,1000,3,2025-04-01
1000,5438,112014.52711749746,6642.95,1.7081383389046025,230.9,479,999,1.0378540719410996,15.333823919688136,16.859628250889525,0.4302398934243525,schedule_buses1000_gen4_20250401_003450.csv,optimized_schedules\schedule_buses1000_gen4_20250401_003450.csv,1000,4,2025-04-01
1000,5438,112014.52711749746,6642.95,1.7081383389046025,230.9,479,999,1.0378540719410996,15.333823919688136,16.859628250889525,0.4302398934243525,schedule_buses1000_gen5_20250401_003729.csv,optimized_schedules\schedule_buses1000_gen5_20250401_003729.csv,1000,5,2025-04-01
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen6_20250401_004008.csv,optimized_schedules\schedule_buses1000_gen6_20250401_004008.csv,1000,6,2025-04-01
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen7_20250401_004408.csv,optimized_schedules\schedule_buses1000_gen7_20250401_004408.csv,1000,7,2025-04-01
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen8_20250401_004634.csv,optimized_schedules\schedule_buses1000_gen8_20250401_004634.csv,1000,8,2025-04-01
1000,5438,112014.52711749746,5882.583333333333,1.5141784641784641,230.9,483,999,1.038770658235581,15.427124035282791,19.038487393028195,0.42909578824140904,schedule_buses1000_gen9_20250401_004959.csv,optimized_schedules\schedule_buses1000_gen9_20250401_004959.csv,1000,9,2025-04-01
600,5438,112014.52711749746,7548.483333333334,2.032987700870814,153.15,1087,599,1.1347160146805022,44.34022991470488,14.837376568926013,0.4052819841736578,schedule_buses600_gen10_20250331_233728.csv,optimized_schedules\schedule_buses600_gen10_20250331_233728.csv,600,10,2025-03-31
600,5438,112014.52711749746,7548.483333333334,2.032987700870814,153.15,1087,599,1.1347160146805022,44.34022991470488,14.837376568926013,0.4052819841736578,schedule_buses600_gen11_20250331_233924.csv,optimized_schedules\schedule_buses600_gen11_20250331_233924.csv,600,11,2025-03-31
600,5438,112014.52711749746,7548.483333333334,2.032987700870814,153.15,1087,599,1.1347160146805022,44.34022991470488,14.837376568926013,0.4052819841736578,schedule_buses600_gen12_20250331_234114.csv,optimized_schedules\schedule_buses600_gen12_20250331_234114.csv,600,12,2025-03-31
600,5438,112014.52711749746,7548.483333333334,2.032987700870814,153.15,1087,599,1.1347160146805022,44.34022991470488,14.837376568926013,0.4052819841736578,schedule_buses600_gen13_20250331_234353.csv,optimized_schedules\schedule_buses600_gen13_20250331_234353.csv,600,13,2025-03-31
